OPERATION_ID,RESALT_ID,PREFERENCE,RES_ID,ELEM_IX
-,RESALT_dummy,1,RESOURCE_dummy,1
-,RESALT_Module_ASSY_Machine,1,RESOURCE_Module_ASSY_Machine,1
-,RESALT_Module_ATS_Machine,1,RESOURCE_Module_ATS_Machine,1
-,RESALT_Module_TCT_Machine,1,RESOURCE_Module_TCT_Machine,1
-,RESALT_Module_BI_Machine,1,RESOURCE_Module_BI_Machine,1
-,RESALT_Module_LINK_Machine,1,RESOURCE_Module_LINK_Machine,1
-,RESALT_Module_OVERLOAD_Machine,1,RESOURCE_Module_OVERLOAD_Machine,1
-,RESALT_Module_PrePKG_Machine,1,RESOURCE_Module_PrePKG_Machine,1
-,RESALT_Module_PostPKG_Machine,1,RESOURCE_Module_PostPKG_Machine,1
-,RESALT_OB_TXAA_Machine,1,RESOURCE_OB_TXAA_Machine,1
-,RESALT_OB_RXAA_Machine,1,RESOURCE_OB_RXAA_Machine,1
-,RESALT_OB_TCT_Machine,1,RESOURCE_OB_TCT_Machine,1
-,RESALT_OB_TEST_Machine,1,RESOURCE_OB_TEST_Machine,1
-,RESALT_CB_ASSY_Machine,1,RESOURCE_CB_ASSY_Machine,1
-,RESALT_CB_DA_Machine,1,RESOURCE_CB_DA_Machine,1
-,RESALT_CB_TXLENS_Machine,1,RESOURCE_CB_TXLENS_Machine,1
-,RESALT_CB_WB_Machine,1,RESOURCE_CB_WB_Machine,1
-,RESALT_CB_RXLENS_Machine,1,RESOURCE_CB_RXLENS_Machine,1
-,RESALT_CB_TEST_Machine,1,RESOURCE_CB_TEST_Machine,1
-,RESALT_TXCOC_CRYSTAL_Machine,1,RESOURCE_TXCOC_CRYSTAL_Machine,1
-,RESALT_TXCOC_LASER_Machine,1,RESOURCE_TXCOC_LASER_Machine,1
-,RESALT_TXCOC_GT_Machine,1,RESOURCE_TXCOC_GT_Machine,1
-,RESALT_TXCOC_WB_Machine,1,RESOURCE_TXCOC_WB_Machine,1
-,RESALT_TXCOC_BI_Machine,1,RESOURCE_TXCOC_BI_Machine,1
-,RESALT_Preform_Assembly_Machine,1,RESOURCE_Preform_Assembly_Machine,1
-,RESALT_Preform_LASER_Machine,1,RESOURCE_Preform_LASER_Machine,1
-,RESALT_Crew,1,RESOURCE_Crew,1
-,RESALT_Module_ASSY_Machine,1,RESOURCE_Module_ASSY_s_Machine,2
-,RESALT_Module_ATS_Machine,1,RESOURCE_Module_ATS_s_Machine,2
-,RESALT_Module_TCT_Machine,1,RESOURCE_Module_TCT_s_Machine,2
-,RESALT_Module_BI_Machine,1,RESOURCE_Module_BI_s_Machine,2
-,RESALT_Module_LINK_Machine,1,RESOURCE_Module_LINK_s_Machine,2
-,RESALT_Module_OVERLOAD_Machine,1,RESOURCE_Module_OVERLOAD_s_Machine,2
-,RESALT_Module_PrePKG_Machine,1,RESOURCE_Module_PrePKG_s_Machine,2
-,RESALT_Module_PostPKG_Machine,1,RESOURCE_Module_PostPKG_s_Machine,2
-,RESALT_OB_TXAA_Machine,1,RESOURCE_OB_TXAA_s_Machine,2
-,RESALT_OB_RXAA_Machine,1,RESOURCE_OB_RXAA_s_Machine,2
-,RESALT_OB_TCT_Machine,1,RESOURCE_OB_TCT_s_Machine,2
-,RESALT_OB_TEST_Machine,1,RESOURCE_OB_TEST_s_Machine,2
-,RESALT_CB_ASSY_Machine,1,RESOURCE_CB_ASSY_s_Machine,2
-,RESALT_CB_DA_Machine,1,RESOURCE_CB_DA_s_Machine,2
-,RESALT_CB_TXLENS_Machine,1,RESOURCE_CB_TXLENS_s_Machine,2
-,RESALT_CB_WB_Machine,1,RESOURCE_CB_WB_s_Machine,2
-,RESALT_CB_RXLENS_Machine,1,RESOURCE_CB_RXLENS_s_Machine,2
-,RESALT_CB_TEST_Machine,1,RESOURCE_CB_TEST_s_Machine,2
-,RESALT_TXCOC_CRYSTAL_Machine,1,RESOURCE_TXCOC_CRYSTAL_s_Machine,2
-,RESALT_TXCOC_LASER_Machine,1,RESOURCE_TXCOC_LASER_s_Machine,2
-,RESALT_TXCOC_GT_Machine,1,RESOURCE_TXCOC_GT_s_Machine,2
-,RESALT_TXCOC_WB_Machine,1,RESOURCE_TXCOC_WB_s_Machine,2
-,RESALT_TXCOC_BI_Machine,1,RESOURCE_TXCOC_BI_s_Machine,2
-,RESALT_Preform_Assembly_Machine,1,RESOURCE_Preform_Assembly_s_Machine,2
-,RESALT_Preform_LASER_Machine,1,RESOURCE_Preform_LASER_s_Machine,2
