BOR_ID,IDX,RESALT_ID,RATE
BOR_dummy,1,RESALT_dummy,1
BOR_Module_ASSY,1,RESALT_Module_ASSY_Machine,1
BOR_Module_ATS,1,RESALT_Module_ATS_Machine,1
BOR_Module_TCT,1,RESALT_Module_TCT_Machine,1
BOR_Module_BI,1,RESALT_Module_BI_Machine,1
BOR_Module_LINK,1,RESALT_Module_LINK_Machine,1
BOR_Module_OVERLOAD,1,RESALT_Module_OVERLOAD_Machine,1
BOR_Module_PrePKG,1,RESALT_Module_PrePKG_Machine,1
BOR_Module_PostPKG,1,RESALT_Module_PostPKG_Machine,1
BOR_OB_TXAA,1,RESALT_OB_TXAA_Machine,1
BOR_OB_RXAA,1,RESALT_OB_RXAA_Machine,1
BOR_OB_TCT,1,RESALT_OB_TCT_Machine,1
BOR_OB_TEST,1,RESALT_OB_TEST_Machine,1
BOR_CB_ASSY,1,RESALT_CB_ASSY_Machine,1
BOR_CB_DA,1,RESALT_CB_DA_Machine,1
BOR_CB_TXLENS,1,RESALT_CB_TXLENS_Machine,1
BOR_CB_WB,1,RESALT_CB_WB_Machine,1
BOR_CB_RXLENS,1,RESALT_CB_RXLENS_Machine,1
BOR_CB_TEST,1,RESALT_CB_TEST_Machine,1
BOR_TXCOC_CRYSTAL,1,RESALT_TXCOC_CRYSTAL_Machine,1
BOR_TXCOC_LASER,1,RESALT_TXCOC_LASER_Machine,1
BOR_TXCOC_GT,1,RESALT_TXCOC_GT_Machine,1
BOR_TXCOC_WB,1,RESALT_TXCOC_WB_Machine,1
BOR_TXCOC_BI,1,RESALT_TXCOC_BI_Machine,1
BOR_Preform_ASSY,1,RESALT_Preform_Assembly_Machine,1
BOR_Preform_TX_LENS,1,RESALT_Preform_Assembly_Machine,1
BOR_Preform_RX_LENS,1,RESALT_Preform_Assembly_Machine,1
BOR_Preform_TX_CLENS,1,RESALT_Preform_Assembly_Machine,1
BOR_Preform_RX_CLENS,1,RESALT_Preform_Assembly_Machine,1
BOR_Preform_OB,1,RESALT_Preform_Assembly_Machine,1
BOR_Preform_LASER,1,RESALT_Preform_LASER_Machine,1
BOR_Module_ASSY,2,RESALT_Crew,1
BOR_Module_ATS,2,RESALT_Crew,1
BOR_Module_TCT,2,RESALT_Crew,1
BOR_Module_BI,2,RESALT_Crew,1
BOR_Module_LINK,2,RESALT_Crew,1
BOR_Module_OVERLOAD,2,RESALT_Crew,1
BOR_Module_PrePKG,2,RESALT_Crew,1
BOR_Module_PostPKG,2,RESALT_Crew,1
BOR_OB_TXAA,2,RESALT_Crew,1
BOR_OB_RXAA,2,RESALT_Crew,1
BOR_OB_TCT,2,RESALT_Crew,1
BOR_OB_TEST,2,RESALT_Crew,1
BOR_CB_ASSY,2,RESALT_Crew,1
BOR_CB_DA,2,RESALT_Crew,1
BOR_CB_TXLENS,2,RESALT_Crew,1
BOR_CB_WB,2,RESALT_Crew,1
BOR_CB_RXLENS,2,RESALT_Crew,1
BOR_CB_TEST,2,RESALT_Crew,1
BOR_TXCOC_CRYSTAL,2,RESALT_Crew,1
BOR_TXCOC_LASER,2,RESALT_Crew,1
BOR_TXCOC_GT,2,RESALT_Crew,1
BOR_TXCOC_WB,2,RESALT_Crew,1
BOR_TXCOC_BI,2,RESALT_Crew,1
BOR_Preform_ASSY,2,RESALT_Crew,1
BOR_Preform_TX_LENS,2,RESALT_Crew,1
BOR_Preform_RX_LENS,2,RESALT_Crew,1
BOR_Preform_TX_CLENS,2,RESALT_Crew,1
BOR_Preform_RX_CLENS,2,RESALT_Crew,1
BOR_Preform_OB,2,RESALT_Crew,1
BOR_Preform_LASER,2,RESALT_Crew,1
